,class1,class2,gender,noun,nounclass,predicate1,predicate2,response,slide_number,language,enjoyment,asses,age,education,comments,prolific,Browser,OS,screenH,screenW,time_in_minutes,participant_id
8,color,size,Male,banana,food,purple,big,0.09,11,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
9,size,texture,Male,fan,furniture,long,soft,0.92,12,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
10,quality,color,Male,chair,furniture,good,green,0.92,13,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
11,material,size,Male,cheese,food,plastic,short,0.15,14,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
12,size,color,Male,couch,furniture,small,yellow,0.56,15,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
13,age,color,Male,carrot,food,new,blue,0.8,16,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
14,material,age,Male,carrot,food,plastic,old,0.17,17,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
15,size,shape,Male,banana,food,small,square,0.92,18,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
16,size,texture,Male,cheese,food,long,soft,0.1,19,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
17,shape,material,Male,carrot,food,square,plastic,0.49,20,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
18,age,shape,Male,couch,furniture,fresh,square,0.51,21,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
19,color,quality,Male,TV,furniture,red,good,0.15,22,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
20,material,texture,Male,fan,furniture,plastic,smooth,0.59,23,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
21,age,quality,Male,couch,furniture,fresh,good,0.31,24,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
22,material,size,Male,desk,furniture,plastic,short,0.07,25,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
23,material,shape,Male,TV,furniture,metal,round,0.09,26,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
24,shape,color,Male,fan,furniture,square,green,0.5,27,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
25,age,color,Male,cheese,food,new,yellow,0.66,28,Ελληνικά,0,Yes,23,0,,5d9674841b7e120018c4cb5d,Firefox,Windows,864,1536,7.373316666666667,19
0,quality,material,Male,apple,food,good,plastic,0.98,3,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
1,size,age,Male,tomato,food,short,old,0.02,4,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
2,texture,age,Male,banana,food,hard,rotten,0.95,5,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
3,age,texture,Male,fan,furniture,rotten,smooth,0.02,6,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
4,material,age,Male,desk,furniture,metal,old,0.02,7,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
5,color,quality,Male,couch,furniture,blue,good,0.04,8,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
6,age,quality,Male,carrot,food,new,broken,0.0,9,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
7,color,texture,Male,desk,furniture,purple,smooth,0.0,10,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
8,quality,size,Male,desk,furniture,broken,big,0.0,11,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
9,size,quality,Male,fan,furniture,long,broken,0.97,12,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
10,material,size,Male,cheese,food,metal,tiny,0.02,13,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
11,shape,color,Male,fan,furniture,square,green,0.04,14,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
12,size,material,Male,TV,furniture,small,wooden,0.96,15,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
13,color,texture,Male,couch,furniture,green,soft,0.96,16,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
14,size,age,Male,fan,furniture,long,new,0.96,17,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
15,size,color,Male,couch,furniture,tiny,green,0.99,18,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
16,quality,texture,Male,desk,furniture,broken,hard,0.0,19,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
17,size,age,Male,apple,food,big,fresh,0.97,20,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
18,size,color,Male,cheese,food,long,blue,0.96,21,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
19,material,age,Male,tomato,food,wooden,new,0.01,22,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
20,size,shape,Male,apple,food,tiny,square,0.99,23,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
21,shape,quality,Male,couch,furniture,square,good,0.02,24,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
22,color,age,Male,tomato,food,green,old,0.04,25,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
23,age,color,Male,chair,furniture,rotten,green,0.98,26,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
24,material,age,Male,desk,furniture,metal,old,0.02,27,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
25,shape,texture,Male,banana,food,round,soft,0.95,28,Ελληνικά,2,Yes,26,2,,5cf9179b8c98dc0001d5a431,Chrome,Windows,864,1536,5.207366666666666,20
0,color,age,Male,chair,furniture,green,new,0.0,3,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
1,age,size,Male,TV,furniture,rotten,small,0.59,4,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
2,age,size,Male,banana,food,fresh,long,0.49,5,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
3,age,color,Male,desk,furniture,old,brown,1.0,6,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
4,material,color,Male,apple,food,metal,purple,1.0,7,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
5,texture,color,Male,banana,food,soft,brown,1.0,8,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
6,size,age,Male,couch,furniture,big,old,1.0,9,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
7,texture,size,Male,cheese,food,smooth,long,1.0,10,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
8,size,shape,Male,desk,furniture,short,round,1.0,11,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
9,size,color,Male,TV,furniture,short,blue,1.0,12,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
10,size,age,Male,TV,furniture,small,new,1.0,13,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
11,shape,texture,Male,cheese,food,round,soft,1.0,14,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
12,size,age,Male,couch,furniture,tiny,old,1.0,15,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
13,age,quality,Male,tomato,food,rotten,broken,1.0,16,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
14,quality,color,Male,chair,furniture,broken,green,1.0,17,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
15,age,color,Male,couch,furniture,old,blue,1.0,18,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
16,size,age,Male,chair,furniture,tiny,new,1.0,19,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
17,texture,material,Male,desk,furniture,hard,wooden,1.0,20,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
18,size,shape,Male,TV,furniture,short,round,1.0,21,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
19,size,color,Male,fan,furniture,big,red,1.0,22,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
20,quality,age,Male,cheese,food,broken,fresh,1.0,23,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
21,shape,size,Male,carrot,food,square,long,0.0,24,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
22,size,texture,Male,desk,furniture,big,hard,1.0,25,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
23,quality,shape,Male,apple,food,broken,round,1.0,26,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
24,age,color,Male,tomato,food,new,blue,1.0,27,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
25,material,color,Male,TV,furniture,wooden,purple,1.0,28,ελληνικα,1,Yes,24,0,,5d6e7dad5483b9001623bf7d,Chrome,Windows,768,1366,6.074766666666667,21
0,size,age,Female,carrot,food,big,new,0.96,3,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
1,age,shape,Female,fan,furniture,rotten,round,0.94,4,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
2,color,age,Female,desk,furniture,yellow,old,0.94,5,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
3,quality,size,Female,banana,food,good,big,0.01,6,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
4,material,size,Female,banana,food,metal,tiny,0.03,7,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
5,age,material,Female,fan,furniture,old,wooden,0.02,8,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
6,color,texture,Female,chair,furniture,red,hard,0.97,9,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
7,size,color,Female,cheese,food,big,purple,0.96,10,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
8,color,size,Female,chair,furniture,red,big,0.01,11,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
9,material,size,Female,banana,food,plastic,big,0.07,12,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
10,size,color,Female,TV,furniture,tiny,brown,0.05,13,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
11,size,quality,Female,carrot,food,small,good,0.98,14,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
12,texture,age,Female,banana,food,hard,fresh,0.02,15,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
13,color,size,Female,couch,furniture,brown,long,0.87,16,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
14,size,shape,Female,apple,food,tiny,square,0.99,17,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
15,material,age,Female,banana,food,wooden,old,0.03,18,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
16,size,texture,Female,apple,food,tiny,soft,0.09,19,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
17,texture,shape,Female,desk,furniture,hard,round,0.01,20,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
18,age,size,Female,fan,furniture,old,small,0.95,21,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
19,size,age,Female,chair,furniture,big,fresh,0.98,22,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
20,age,color,Female,TV,furniture,new,brown,0.96,23,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
21,quality,material,Female,tomato,food,broken,metal,0.9,24,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
22,color,texture,Female,fan,furniture,yellow,hard,0.96,25,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
23,size,quality,Female,tomato,food,small,good,0.03,26,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
24,size,quality,Female,banana,food,short,good,0.06,27,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
25,color,material,Female,banana,food,yellow,metal,0.97,28,Ελληνικα,2,Yes,56,0,,5d1742ca61a409001a1f6e1c,Chrome,Linux,360,720,2.32375,22
0,shape,age,Male,desk,furniture,round,old,0.22,3,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
1,texture,color,Male,desk,furniture,soft,brown,0.8,4,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
2,color,quality,Male,tomato,food,blue,broken,0.16,5,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
3,age,shape,Male,cheese,food,rotten,square,0.83,6,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
4,color,material,Male,chair,furniture,yellow,plastic,0.12,7,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
5,material,age,Male,cheese,food,plastic,old,0.14,8,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
6,material,age,Male,tomato,food,wooden,new,0.0,9,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
7,material,size,Male,apple,food,wooden,small,0.19,10,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
8,size,shape,Male,desk,furniture,short,square,0.81,11,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
9,color,age,Male,apple,food,brown,old,0.0,12,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
10,color,size,Male,cheese,food,purple,big,0.08,13,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
11,quality,texture,Male,carrot,food,good,smooth,0.89,14,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
12,shape,color,Male,fan,furniture,square,green,0.77,15,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
13,color,texture,Male,TV,furniture,blue,smooth,0.16,16,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
14,size,age,Male,fan,furniture,small,fresh,0.81,17,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
15,color,shape,Male,tomato,food,yellow,round,0.19,18,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
16,age,color,Male,cheese,food,new,brown,0.89,19,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
17,size,color,Male,apple,food,small,red,0.89,20,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
18,quality,color,Male,cheese,food,good,yellow,0.92,21,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
19,quality,age,Male,desk,furniture,good,new,0.92,22,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
20,color,texture,Male,carrot,food,brown,smooth,0.05,23,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
21,size,quality,Male,chair,furniture,big,good,0.11,24,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
22,color,material,Male,tomato,food,yellow,metal,0.94,25,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
23,age,shape,Male,banana,food,new,round,0.91,26,ελληνικά,2,No,25,2,"Θα ήταν προτιμότερο οι προτάσεις να έχουν κάποιο νόημα.Έτσι όπως είναι δομημένο τωρα μοιάζει σαν μετάφραση απο διαγώνισμα γαλλικής γλώσσας. Παρά τα μειονεκτήματα του,όμως, πιστεύω πως επιτυγχάνει το στόχο του.",5dac3e8dbf590700167f6f7c,Firefox,Windows,1080,1920,7.4709666666666665,23
